Reaction	In-Pathway	Names
RXN-11177	PWY-6420	pyrroloquinoline quinone biosynthesis // PQQ biosynthesis
RXN-18384		
RXN-14393	PWY0-1337	oleate &beta;-oxidation
HISTOLDEHYD-RXN	HISTSYN-PWY // RXN-8001	L-histidine biosynthesis
RXN-11662	PWY0-1337	oleate &beta;-oxidation
DUDPKIN-RXN	PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
SULFATE-ADENYLYLTRANS-RXN	PWY-6683 // PWY-5340	assimilatory sulfate reduction III // sulfate activation for sulfonation // sulfation pathway
GLYCEROL-KIN-RXN	PWY-4261	glycerol degradation I
RXN-11598		
GTP-CYCLOHYDRO-II-RXN	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants) // riboflavin, FMN and FAD biosynthesis // vitamin B<sub>2</sub> biosynthesis
RXN-20504		
RXN-22700	PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)
FORMATETHFLIG-RXN	PWY-1722 // PWY-2161 // PWY-8303	formate assimilation into 5,10-methylenetetrahydrofolate // folate polyglutamylation // reductive glycine pathway of autotrophic CO<sub>2</sub> fixation // carbon fixation VI // glycine synthase-reductase pathway
OROPRIBTRANS-RXN	PWY-5686	UMP biosynthesis I // uridine-5'-phosphate biosynthesis I // <i>de novo</i> biosynthesis of uridine-5'-phosphate I // <i>de novo</i> biosynthesis of uridine-5'-monophosphate I
ALDXANAU-RXN		
PYRROLINECARBREDUCT-RXN	PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)
RXN-14257	RXN-8769	
RXN-14389	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis
RXNN-386		
RXN-12901	PWY-6968	trimethylamine degradation
RXN-18447		
GALACTURIDYLYLTRANS-RXN	PWY-6317	D-galactose degradation I (Leloir pathway) // Leloir pathway
HYDROXY-MANDELATE-RACEMASE-RXN		
RXN-14971	TCA	TCA cycle I (prokaryotic) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle
RXN-18208	RXNQT-4165	
RXN-14117		
RXN-20524		
PGLUCISOM-RXN	UDPNAGSYN-PWY // GLUCONEO-PWY // ANAGLYCOLYSIS-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis // gluconeogenesis I // glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)
RXN-21524	PWY-8159 // OHMETHYLBILANESYN-RXN	dipyrromethane cofactor biosynthesis
RXN-12571	PWY-6048	methylthiopropanoate degradation I (cleavage) // MTPA degradation // methylthiopropionate degradation I (cleavage)
GCVT-RXN	GLYCLEAV-PWY // GCVMULTI-RXN	glycine cleavage // glycine cleavage system // glycine decarboxylase complex // gcv system // glycine cleavage complex
RXN-16631	PWY-7663	gondoate biosynthesis (anaerobic) // <i>cis</i>-11-icosenoate biosynthesis // (11<i>Z</i>)-icos-11-enoate biosynthesis // (11<i>Z</i>)-icosenoate biosynthesis // gondoic acid biosynthesis // 11-eicosenoic acid biosynthesis
RXN-11839		
RIBOFLAVINSYNDEAM-RXN	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants) // riboflavin, FMN and FAD biosynthesis // vitamin B<sub>2</sub> biosynthesis
RXN0-1134	PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I // pyruvate dehydrogenase complex // acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex) // pyruvic acid decarboxylation to acetyl CoA // pyruvate dehydrogenase system
QUINOPRIBOTRANS-RXN	PYRIDNUCSYN-PWY // PWY-8277	NAD <i>de novo</i> biosynthesis I (from aspartate) // nicotinamide adenine dinucleotide biosynthesis // NAD <i>de novo</i> biosynthesis IV (anaerobic)
RXN-18427	PWY-7855	ectoine degradation
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	PWY-5074 // LEU-DEG2-PWY	mevalonate degradation // L-leucine degradation I
RXN-7567	PWY-5025	indole-3-acetate biosynthesis IV (bacteria) // IAA biosynthesis IV (bacteria) // indole-3-acetic acid biosynthesis IV (bacteria)
HISTIDINE-AMMONIA-LYASE-RXN	PWY-5028	L-histidine degradation II
RXN-16010	PWY-6048 // RXN-12573	methylthiopropanoate degradation I (cleavage) // MTPA degradation // methylthiopropionate degradation I (cleavage) // MTA-CoA hydrolase
RXN-11054	PWY-1361	benzoyl-CoA degradation I (aerobic)
RXN-22239	PWY-8245	lipid IV<sub>A</sub> biosynthesis (<i>P. gingivalis</i>) // lipid-A-precursor biosynthesis (<i>P. gingivalis</i>)
RXN0-5224		
RXN-17753		
RXN-3482		
RXN-11347		
GCVMULTI-RXN	1CMET2-PWY // PWY-8303	folate transformations III (<i>E. coli</i>) // <i>N</i><sup>10</sup>-formyl-THF biosynthesis // <i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis // reductive glycine pathway of autotrophic CO<sub>2</sub> fixation // carbon fixation VI // glycine synthase-reductase pathway
ISPH2-RXN	PWY-7560 // NONMEVIPP-PWY	methylerythritol phosphate pathway II // nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway // methylerythritol phosphate pathway I
RXN-9922		
RXN-15510	RXN-15513	
RXN-11180	PWY-6420	pyrroloquinoline quinone biosynthesis // PQQ biosynthesis
GUANIDINOBUTANAMIDE-NH3-RXN		
RXN-17880	PWY-7798	protein <i>S</i>-nitrosylation and denitrosylation
RXN-16616	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
NAG6PDEACET-RXN	GLUAMCAT-PWY // PWY0-1261	<i>N</i>-acetylglucosamine degradation I // glucosamine degradation // N-acetyl-glucosamine degradation // anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
RXN0-7188		
RXN-14278	PWY0-1337	oleate &beta;-oxidation
RXN-11178	PWY-6420	pyrroloquinoline quinone biosynthesis // PQQ biosynthesis
METHIONINE-GAMMA-LYASE-RXN		
RXN-16322		
OXALODECARB-RXN	MALIC-NADP-RXN // 1.1.1.39-RXN	
UDPNACETYLGLUCOSAMACYLTRANS-RXN	NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // lipid-A-precursor biosynthesis (<i>E. coli</i>)
PSEUDOURIDINE-KINASE-RXN	PWY-6019	pseudouridine degradation
RXN-16380	PWY-8280	stearate biosynthesis IV // stearic acid biosynthesis IV
5.4.2.10-RXN	UDPNAGSYN-PWY // PWY0-1261	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis // anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)
DIAMINOPIMDECARB-RXN	DAPLYSINESYN-PWY	L-lysine biosynthesis I // L-lysine and L-diaminopimelate biosynthesis
RXN-16689	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
RXN-10658	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // palmitoleic acid biosynthesis I // palmitoleate biosynthesis (anaerobic)
2.7.9.3-RXN		
ADENYL-KIN-RXN	PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis
RXN-11396	PWY-6502	8-oxo-(d)GTP detoxification I // oxidized GTP and dGTP detoxification I // oxidized guanosine triphosphate and deoxyguanosine triphosphate detoxification I // 8-oxo-7,8-dihydro-guanosine-triphosphate and 8-oxo-7,8-dihydro-deoxyguanosine-triphosphate I
RXN-12473	PWY-6823	molybdopterin biosynthesis
RXN-20556		
RXN-16910	RXN-13202	
OHMETHYLBILANESYN-RXN	PWY-5188 // PWY-5189	tetrapyrrole biosynthesis I (from glutamate) // tetrapyrrole biosynthesis II (from glycine)
RXN-9190	PWY-5839	menaquinol-7 biosynthesis // vitamin K<sub>2</sub> biosynthesis // menaquinone-7 biosynthesis
5.4.1.2-RXN	PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
RXN0-5391	PWY0-1337	oleate &beta;-oxidation
RXN-20743		
RXN-11210	PWY-6430	thymine degradation // uracil degradation (reductive)
RXN-17809	PWY-6823	molybdopterin biosynthesis
PNPOXI-RXN	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I // vitamin B<sub>6</sub> biosynthesis // deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis
RXN-10655	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // palmitoleic acid biosynthesis I // palmitoleate biosynthesis (anaerobic)
CITSYN-RXN	TCA	TCA cycle I (prokaryotic) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle
POLYPHOSPHATE-KINASE-RXN	PWY-8138	polyphosphate metabolism
RXN-14049	HOMOSERDEAM-RXN	
RXN-22287		
RXN-12626		
RXN-20056	PWY0-1599	periplasmic disulfide bond formation
RXN-18707	RXN-22700	
RXN-6382		
UROGENIIISYN-RXN	PWY-5188 // PWY-5189	tetrapyrrole biosynthesis I (from glutamate) // tetrapyrrole biosynthesis II (from glycine)
RXN-15511	RXN-15513	
UDPKIN-RXN	PWY-7176	UTP and CTP <i>de novo</i> biosynthesis
RXN-16614	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
PGPPHOSPHA-RXN	PWY4FS-7 // PWY4FS-8 // PWY-5668 // PWY0-1545	phosphatidylglycerol biosynthesis I (plastidic) // phosphatidylglycerol biosynthesis II (non-plastidic) // cardiolipin biosynthesis I // cardiolipin biosynthesis III
RXN-14387	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis
ACETATEKIN-RXN	PWY-5485 // PWY0-1477 // PWY0-1312 // PWY-8303	pyruvate fermentation to acetate IV // pyruvic acid fermentation to acetic acid IV // ethanolamine utilization // acetate and ATP formation from acetyl-CoA I // acetic acid formation from acetyl-CoA I // reductive glycine pathway of autotrophic CO<sub>2</sub> fixation // carbon fixation VI // glycine synthase-reductase pathway
RXN-14384	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis
RXN-16687	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
D-2-HYDROXY-ACID-DEHYDROGENASE-RXN		
METHYLMALONYL-COA-MUT-RXN	PROPIONMET-PWY	propanoyl CoA degradation I // propionyl CoA degradation I // methylmalonyl pathway
RXN-22		
RXN-20784	PWY-8073	lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>) // lipid-A-precursor biosynthesis (<i>P. putida</i>)
HYDROXYPYRUVATE-REDUCTASE-RXN		
RXN-16955		
ASPARAGINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
RXN-8344	PWY-8171	molybdenum cofactor biosynthesis // moco biosynthesis // molybdopterin biosynthesis
RXN-21316	PWY-8130	5'-deoxyadenosine degradation I // 5'-deoxyadenosine salvage I
RXN0-5305		
GTPPYPHOSKIN-RXN	PPGPPMET-PWY	ppGpp metabolism // guanosine 3'-diphosphate 5'-diphosphate biosynthesis // ppGpp biosynthesis
RXN-19326	PWY-7970	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
RXN-8957	PWY-5741	ethylmalonyl-CoA pathway // ethylmalonyl pathway
GLUTAMIDOTRANS-RXN	HISTSYN-PWY	L-histidine biosynthesis
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)
RXN-9384		
METHYLENETHFDEHYDROG-NADP-RXN	PWY-1722 // 1CMET2-PWY // PWY-8303	formate assimilation into 5,10-methylenetetrahydrofolate // folate transformations III (<i>E. coli</i>) // <i>N</i><sup>10</sup>-formyl-THF biosynthesis // <i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis // reductive glycine pathway of autotrophic CO<sub>2</sub> fixation // carbon fixation VI // glycine synthase-reductase pathway
RXN0-743	PWY-6123	inosine-5'-phosphate biosynthesis I // IMP biosynthesis I
RXN0-7187		
CYTIDEAM-RXN	PWY-7181 // PWY-7199	pyrimidine deoxyribonucleosides degradation // pyrimidine deoxyribonucleosides salvage
2.1.1.151-RXN	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
RXN-21019		
